ontology	GO_id	description
BP	GO:1902201	negative regulation of bacterial-type flagellum-dependent cell motility
BP	GO:1902208	regulation of bacterial-type flagellum assembly
BP	GO:1902209	negative regulation of bacterial-type flagellum assembly
BP	GO:1902221	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process
BP	GO:1902222	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process
BP	GO:1902223	erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process
BP	GO:1902224	ketone body metabolic process
BP	GO:1902229	regulation of intrinsic apoptotic signaling pathway in response to DNA damage
BP	GO:1902230	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
BP	GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator
BP	GO:1902254	negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator
BP	GO:1902270	(R)-carnitine transmembrane transport
BP	GO:1902275	regulation of chromatin organization
BP	GO:1902292	cell cycle DNA replication initiation
BP	GO:1902299	pre-replicative complex assembly involved in cell cycle DNA replication
BP	GO:1902305	regulation of sodium ion transmembrane transport
BP	GO:1902307	positive regulation of sodium ion transmembrane transport
BP	GO:1902321	methyl-branched fatty acid biosynthetic process
BP	GO:1902328	bacterial-type DNA replication initiation
BP	GO:1902343	regulation of maltose transport
BP	GO:1902344	negative regulation of maltose transport
BP	GO:1902347	response to strigolactone
BP	GO:1902348	cellular response to strigolactone
BP	GO:1902356	oxaloacetate(2-) transmembrane transport
BP	GO:1902358	sulfate transmembrane transport
BP	GO:1902369	negative regulation of RNA catabolic process
BP	GO:1902373	negative regulation of mRNA catabolic process
BP	GO:1902407	assembly of actomyosin apparatus involved in mitotic cytokinesis
BP	GO:1902410	mitotic cytokinetic process
BP	GO:1902445	regulation of mitochondrial membrane permeability involved in programmed necrotic cell death
BP	GO:1902475	L-alpha-amino acid transmembrane transport
BP	GO:1902476	chloride transmembrane transport
BP	GO:1902510	regulation of apoptotic DNA fragmentation
BP	GO:1902512	positive regulation of apoptotic DNA fragmentation
BP	GO:1902531	regulation of intracellular signal transduction
BP	GO:1902532	negative regulation of intracellular signal transduction
BP	GO:1902533	positive regulation of intracellular signal transduction
BP	GO:1902563	regulation of neutrophil activation
BP	GO:1902564	negative regulation of neutrophil activation
BP	GO:1902571	regulation of serine-type peptidase activity
BP	GO:1902572	negative regulation of serine-type peptidase activity
BP	GO:1902573	positive regulation of serine-type peptidase activity
BP	GO:1902579	multi-organism localization
BP	GO:1902586	multi-organism intercellular transport
BP	GO:1902599	sulfathiazole transmembrane transport
BP	GO:1902600	proton transmembrane transport
BP	GO:1902601	silver ion transmembrane transport
BP	GO:1902603	carnitine transmembrane transport
BP	GO:1902604	p-aminobenzoyl-glutamate transmembrane transport
BP	GO:1902626	assembly of large subunit precursor of preribosome
BP	GO:1902644	tertiary alcohol metabolic process
BP	GO:1902645	tertiary alcohol biosynthetic process
BP	GO:1902652	secondary alcohol metabolic process
BP	GO:1902653	secondary alcohol biosynthetic process
BP	GO:1902659	regulation of glucose mediated signaling pathway
BP	GO:1902660	negative regulation of glucose mediated signaling pathway
BP	GO:1902679	negative regulation of RNA biosynthetic process
BP	GO:1902680	positive regulation of RNA biosynthetic process
BP	GO:1902686	mitochondrial outer membrane permeabilization involved in programmed cell death
BP	GO:1902749	regulation of cell cycle G2/M phase transition
BP	GO:1902751	positive regulation of cell cycle G2/M phase transition
BP	GO:1902757	bis(molybdopterin guanine dinucleotide)molybdenum metabolic process
BP	GO:1902758	bis(molybdopterin guanine dinucleotide)molybdenum biosynthetic process
BP	GO:1902759	Mo(VI)-molybdopterin cytosine dinucleotide metabolic process
BP	GO:1902760	Mo(VI)-molybdopterin cytosine dinucleotide biosynthetic process
BP	GO:1902767	isoprenoid biosynthetic process via mevalonate
BP	GO:1902769	regulation of choline O-acetyltransferase activity
BP	GO:1902776	6-sulfoquinovose(1-) metabolic process
BP	GO:1902777	6-sulfoquinovose(1-) catabolic process
BP	GO:1902806	regulation of cell cycle G1/S phase transition
BP	GO:1902807	negative regulation of cell cycle G1/S phase transition
BP	GO:1902808	positive regulation of cell cycle G1/S phase transition
BP	GO:1902815	N,N'-diacetylchitobiose import
BP	GO:1902850	microtubule cytoskeleton organization involved in mitosis
BP	GO:1902882	regulation of response to oxidative stress
BP	GO:1902883	negative regulation of response to oxidative stress
BP	GO:1902884	positive regulation of response to oxidative stress
BP	GO:1902903	regulation of supramolecular fiber organization
BP	GO:1902904	negative regulation of supramolecular fiber organization
BP	GO:1902905	positive regulation of supramolecular fiber organization
BP	GO:1902906	proteasome storage granule assembly
BP	GO:1902914	regulation of protein polyubiquitination
BP	GO:1902916	positive regulation of protein polyubiquitination
BP	GO:1902930	regulation of alcohol biosynthetic process
BP	GO:1902931	negative regulation of alcohol biosynthetic process
BP	GO:1902956	regulation of mitochondrial electron transport, NADH to ubiquinone
BP	GO:1902957	negative regulation of mitochondrial electron transport, NADH to ubiquinone
BP	GO:1902958	positive regulation of mitochondrial electron transport, NADH to ubiquinone
BP	GO:1902991	regulation of amyloid precursor protein catabolic process
BP	GO:1903003	positive regulation of protein deubiquitination
BP	GO:1903008	organelle disassembly
BP	GO:1903018	regulation of glycoprotein metabolic process
BP	GO:1903019	negative regulation of glycoprotein metabolic process
BP	GO:1903020	positive regulation of glycoprotein metabolic process
BP	GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding
BP	GO:1903026	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding
BP	GO:1903034	regulation of response to wounding
BP	GO:1903035	negative regulation of response to wounding
BP	GO:1903036	positive regulation of response to wounding
BP	GO:1903037	regulation of leukocyte cell-cell adhesion
BP	GO:1903038	negative regulation of leukocyte cell-cell adhesion
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion
BP	GO:1903046	meiotic cell cycle process
BP	GO:1903047	mitotic cell cycle process
BP	GO:1903050	regulation of proteolysis involved in cellular protein catabolic process
BP	GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process
BP	GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process
BP	GO:1903053	regulation of extracellular matrix organization
BP	GO:1903054	negative regulation of extracellular matrix organization
BP	GO:1903066	regulation of protein localization to cell tip
BP	GO:1903068	positive regulation of protein localization to cell tip
BP	GO:1903076	regulation of protein localization to plasma membrane
BP	GO:1903078	positive regulation of protein localization to plasma membrane
BP	GO:1903108	regulation of mitochondrial transcription
BP	GO:1903109	positive regulation of mitochondrial transcription
BP	GO:1903123	regulation of thioredoxin peroxidase activity
BP	GO:1903124	negative regulation of thioredoxin peroxidase activity
BP	GO:1903131	mononuclear cell differentiation
BP	GO:1903140	regulation of establishment of endothelial barrier
BP	GO:1903146	regulation of autophagy of mitochondrion
BP	GO:1903147	negative regulation of autophagy of mitochondrion
BP	GO:1903169	regulation of calcium ion transmembrane transport
BP	GO:1903170	negative regulation of calcium ion transmembrane transport
BP	GO:1903173	fatty alcohol metabolic process
BP	GO:1903189	glyoxal metabolic process
BP	GO:1903201	regulation of oxidative stress-induced cell death
BP	GO:1903202	negative regulation of oxidative stress-induced cell death
BP	GO:1903205	regulation of hydrogen peroxide-induced cell death
BP	GO:1903206	negative regulation of hydrogen peroxide-induced cell death
BP	GO:1903209	positive regulation of oxidative stress-induced cell death
BP	GO:1903224	regulation of endodermal cell differentiation
BP	GO:1903225	negative regulation of endodermal cell differentiation
BP	GO:1903227	xanthosine metabolic process
BP	GO:1903228	xanthosine catabolic process
BP	GO:1903236	regulation of leukocyte tethering or rolling
BP	GO:1903237	negative regulation of leukocyte tethering or rolling
BP	GO:1903299	regulation of hexokinase activity
BP	GO:1903300	negative regulation of hexokinase activity
BP	GO:1903305	regulation of regulated secretory pathway
BP	GO:1903306	negative regulation of regulated secretory pathway
BP	GO:1903311	regulation of mRNA metabolic process
BP	GO:1903312	negative regulation of mRNA metabolic process
BP	GO:1903313	positive regulation of mRNA metabolic process
BP	GO:1903314	regulation of nitrogen cycle metabolic process
BP	GO:1903317	regulation of protein maturation
BP	GO:1903319	positive regulation of protein maturation
BP	GO:1903320	regulation of protein modification by small protein conjugation or removal
BP	GO:1903321	negative regulation of protein modification by small protein conjugation or removal
BP	GO:1903322	positive regulation of protein modification by small protein conjugation or removal
BP	GO:1903332	regulation of protein folding
BP	GO:1903338	regulation of cell wall organization or biogenesis
BP	GO:1903352	L-ornithine transmembrane transport
BP	GO:1903354	regulation of distal tip cell migration
BP	GO:1903362	regulation of cellular protein catabolic process
BP	GO:1903363	negative regulation of cellular protein catabolic process
BP	GO:1903364	positive regulation of cellular protein catabolic process
BP	GO:1903400	L-arginine transmembrane transport
BP	GO:1903401	L-lysine transmembrane transport
BP	GO:1903409	reactive oxygen species biosynthetic process
BP	GO:1903412	response to bile acid
BP	GO:1903424	fluoride transmembrane transport
BP	GO:1903426	regulation of reactive oxygen species biosynthetic process
BP	GO:1903427	negative regulation of reactive oxygen species biosynthetic process
BP	GO:1903428	positive regulation of reactive oxygen species biosynthetic process
BP	GO:1903457	lactate catabolic process
BP	GO:1903475	mitotic actomyosin contractile ring assembly
BP	GO:1903506	regulation of nucleic acid-templated transcription
BP	GO:1903507	negative regulation of nucleic acid-templated transcription
BP	GO:1903508	positive regulation of nucleic acid-templated transcription
BP	GO:1903509	liposaccharide metabolic process
BP	GO:1903510	mucopolysaccharide metabolic process
BP	GO:1903513	endoplasmic reticulum to cytosol transport
BP	GO:1903522	regulation of blood circulation
BP	GO:1903523	negative regulation of blood circulation
BP	GO:1903524	positive regulation of blood circulation
BP	GO:1903525	regulation of membrane tubulation
BP	GO:1903527	positive regulation of membrane tubulation
BP	GO:1903530	regulation of secretion by cell
BP	GO:1903531	negative regulation of secretion by cell
BP	GO:1903532	positive regulation of secretion by cell
BP	GO:1903533	regulation of protein targeting
BP	GO:1903539	protein localization to postsynaptic membrane
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production
BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production
BP	GO:1903573	negative regulation of response to endoplasmic reticulum stress
BP	GO:1903576	response to L-arginine
BP	GO:1903577	cellular response to L-arginine
BP	GO:1903578	regulation of ATP metabolic process
BP	GO:1903579	negative regulation of ATP metabolic process
BP	GO:1903580	positive regulation of ATP metabolic process
BP	GO:1903587	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
BP	GO:1903589	positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
BP	GO:1903624	regulation of DNA catabolic process
BP	GO:1903626	positive regulation of DNA catabolic process
BP	GO:1903656	regulation of type IV pilus biogenesis
BP	GO:1903658	positive regulation of type IV pilus biogenesis
BP	GO:1903659	regulation of complement-dependent cytotoxicity
BP	GO:1903662	L-altrarate metabolic process
BP	GO:1903663	L-altrarate catabolic process
BP	GO:1903664	regulation of asexual reproduction
BP	GO:1903665	negative regulation of asexual reproduction
BP	GO:1903666	positive regulation of asexual reproduction
BP	GO:1903670	regulation of sprouting angiogenesis
BP	GO:1903672	positive regulation of sprouting angiogenesis
BP	GO:1903706	regulation of hemopoiesis
BP	GO:1903707	negative regulation of hemopoiesis
BP	GO:1903708	positive regulation of hemopoiesis
BP	GO:1903711	spermidine transmembrane transport
BP	GO:1903712	cysteine transmembrane transport
BP	GO:1903714	isoleucine transmembrane transport
BP	GO:1903716	guanine transmembrane transport
BP	GO:1903725	regulation of phospholipid metabolic process
BP	GO:1903726	negative regulation of phospholipid metabolic process
BP	GO:1903727	positive regulation of phospholipid metabolic process
BP	GO:1903729	regulation of plasma membrane organization
BP	GO:1903770	negative regulation of beta-galactosidase activity
BP	GO:1903785	L-valine transmembrane transport
BP	GO:1903791	uracil transmembrane transport
BP	GO:1903792	negative regulation of anion transport
BP	GO:1903793	positive regulation of anion transport
BP	GO:1903795	regulation of inorganic anion transmembrane transport
BP	GO:1903796	negative regulation of inorganic anion transmembrane transport
BP	GO:1903803	L-glutamine import across plasma membrane
BP	GO:1903805	L-valine import across plasma membrane
BP	GO:1903806	L-isoleucine import across plasma membrane
BP	GO:1903810	L-histidine import across plasma membrane
BP	GO:1903818	positive regulation of voltage-gated potassium channel activity
BP	GO:1903825	organic acid transmembrane transport
BP	GO:1903826	arginine transmembrane transport
BP	GO:1903827	regulation of cellular protein localization
BP	GO:1903828	negative regulation of cellular protein localization
BP	GO:1903829	positive regulation of cellular protein localization
BP	GO:1903830	magnesium ion transmembrane transport
BP	GO:1903831	signal transduction involved in cellular response to ammonium ion
BP	GO:1903844	regulation of cellular response to transforming growth factor beta stimulus
BP	GO:1903845	negative regulation of cellular response to transforming growth factor beta stimulus
BP	GO:1903862	positive regulation of oxidative phosphorylation
BP	GO:1903900	regulation of viral life cycle
BP	GO:1903901	negative regulation of viral life cycle
BP	GO:1903902	positive regulation of viral life cycle
BP	GO:1903909	regulation of receptor clustering
BP	GO:1903911	positive regulation of receptor clustering
BP	GO:1903959	regulation of anion transmembrane transport
BP	GO:1903960	negative regulation of anion transmembrane transport
BP	GO:1903963	arachidonate transport
BP	GO:1903998	regulation of eating behavior
BP	GO:1903999	negative regulation of eating behavior
BP	GO:1904018	positive regulation of vasculature development
BP	GO:1904029	regulation of cyclin-dependent protein kinase activity
BP	GO:1904030	negative regulation of cyclin-dependent protein kinase activity
BP	GO:1904062	regulation of cation transmembrane transport
BP	GO:1904063	negative regulation of cation transmembrane transport
BP	GO:1904064	positive regulation of cation transmembrane transport
BP	GO:1904069	ascaroside metabolic process
BP	GO:1904070	ascaroside biosynthetic process
BP	GO:1904082	pyrimidine nucleobase transmembrane transport
BP	GO:1904086	regulation of epiboly involved in gastrulation with mouth forming second
BP	GO:1904143	positive regulation of carotenoid biosynthetic process
BP	GO:1904182	regulation of pyruvate dehydrogenase activity
BP	GO:1904229	regulation of succinate dehydrogenase activity
BP	GO:1904231	positive regulation of succinate dehydrogenase activity
BP	GO:1904232	regulation of aconitate hydratase activity
BP	GO:1904234	positive regulation of aconitate hydratase activity
BP	GO:1904271	L-proline import across plasma membrane
BP	GO:1904356	regulation of telomere maintenance via telomere lengthening
BP	GO:1904357	negative regulation of telomere maintenance via telomere lengthening
BP	GO:1904358	positive regulation of telomere maintenance via telomere lengthening
BP	GO:1904375	regulation of protein localization to cell periphery
BP	GO:1904377	positive regulation of protein localization to cell periphery
BP	GO:1904407	positive regulation of nitric oxide metabolic process
BP	GO:1904438	regulation of iron ion import across plasma membrane
BP	GO:1904439	negative regulation of iron ion import across plasma membrane
BP	GO:1904461	ergosteryl 3-beta-D-glucoside metabolic process
BP	GO:1904462	ergosteryl 3-beta-D-glucoside catabolic process
BP	GO:1904478	regulation of intestinal absorption
BP	GO:1904480	positive regulation of intestinal absorption
BP	GO:1904481	response to tetrahydrofolate
BP	GO:1904482	cellular response to tetrahydrofolate
BP	GO:1904523	regulation of DNA amplification
BP	GO:1904524	negative regulation of DNA amplification
BP	GO:1904529	regulation of actin filament binding
BP	GO:1904530	negative regulation of actin filament binding
BP	GO:1904541	fungal-type cell wall disassembly involved in conjugation with cellular fusion
BP	GO:1904555	L-proline transmembrane transport
BP	GO:1904616	regulation of actin binding
BP	GO:1904617	negative regulation of actin binding
BP	GO:1904643	response to curcumin
BP	GO:1904659	glucose transmembrane transport
BP	GO:1904666	regulation of ubiquitin protein ligase activity
BP	GO:1904668	positive regulation of ubiquitin protein ligase activity
BP	GO:1904688	regulation of cytoplasmic translational initiation
BP	GO:1904690	positive regulation of cytoplasmic translational initiation
BP	GO:1904705	regulation of vascular smooth muscle cell proliferation
BP	GO:1904706	negative regulation of vascular smooth muscle cell proliferation
BP	GO:1904729	regulation of intestinal lipid absorption
BP	GO:1904731	positive regulation of intestinal lipid absorption
BP	GO:1904732	regulation of electron transfer activity
BP	GO:1904734	positive regulation of electron transfer activity
BP	GO:1904796	regulation of core promoter binding
BP	GO:1904797	negative regulation of core promoter binding
BP	GO:1904798	positive regulation of core promoter binding
BP	GO:1904806	regulation of protein oxidation
BP	GO:1904808	positive regulation of protein oxidation
BP	GO:1904823	purine nucleobase transmembrane transport
BP	GO:1904833	positive regulation of removal of superoxide radicals
BP	GO:1904880	response to hydrogen sulfide
BP	GO:1904888	cranial skeletal system development
BP	GO:1904892	regulation of receptor signaling pathway via STAT
BP	GO:1904894	positive regulation of receptor signaling pathway via STAT
BP	GO:1904950	negative regulation of establishment of protein localization
BP	GO:1904951	positive regulation of establishment of protein localization
BP	GO:1904959	regulation of cytochrome-c oxidase activity
BP	GO:1904960	positive regulation of cytochrome-c oxidase activity
BP	GO:1904978	regulation of endosome organization
BP	GO:1904979	negative regulation of endosome organization
BP	GO:1904981	maltose transmembrane transport
BP	GO:1904984	regulation of quinolinate biosynthetic process
BP	GO:1904985	negative regulation of quinolinate biosynthetic process
BP	GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell
BP	GO:1904995	negative regulation of leukocyte adhesion to vascular endothelial cell
BP	GO:1905039	carboxylic acid transmembrane transport
BP	GO:1905063	regulation of vascular smooth muscle cell differentiation
BP	GO:1905065	positive regulation of vascular smooth muscle cell differentiation
BP	GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling
BP	GO:1905144	response to acetylcholine
BP	GO:1905145	cellular response to acetylcholine
BP	GO:1905153	regulation of membrane invagination
BP	GO:1905156	negative regulation of photosynthesis
BP	GO:1905157	positive regulation of photosynthesis
BP	GO:1905177	tracheary element differentiation
BP	GO:1905181	regulation of urease activity
BP	GO:1905182	positive regulation of urease activity
BP	GO:1905206	positive regulation of hydrogen peroxide-induced cell death
BP	GO:1905267	endonucleolytic cleavage involved in tRNA processing
BP	GO:1905268	negative regulation of chromatin organization
BP	GO:1905269	positive regulation of chromatin organization
BP	GO:1905330	regulation of morphogenesis of an epithelium
BP	GO:1905364	regulation of endosomal vesicle fusion
BP	GO:1905392	plant organ morphogenesis
BP	GO:1905393	plant organ formation
BP	GO:1905446	regulation of mitochondrial ATP synthesis coupled electron transport
BP	GO:1905447	negative regulation of mitochondrial ATP synthesis coupled electron transport
BP	GO:1905448	positive regulation of mitochondrial ATP synthesis coupled electron transport
BP	GO:1905459	regulation of vascular associated smooth muscle cell apoptotic process
BP	GO:1905461	positive regulation of vascular associated smooth muscle cell apoptotic process
BP	GO:1905475	regulation of protein localization to membrane
BP	GO:1905477	positive regulation of protein localization to membrane
BP	GO:1905478	regulation of glutamate-ammonia ligase activity
BP	GO:1905479	negative regulation of glutamate-ammonia ligase activity
BP	GO:1905508	protein localization to microtubule organizing center
BP	GO:1905521	regulation of macrophage migration
BP	GO:1905522	negative regulation of macrophage migration
BP	GO:1905523	positive regulation of macrophage migration
BP	GO:1905647	proline import across plasma membrane
BP	GO:1905691	lipid droplet disassembly
BP	GO:1905709	negative regulation of membrane permeability
BP	GO:1905710	positive regulation of membrane permeability
BP	GO:1905818	regulation of chromosome separation
BP	GO:1905820	positive regulation of chromosome separation
BP	GO:1905887	autoinducer AI-2 transmembrane transport
BP	GO:1905897	regulation of response to endoplasmic reticulum stress
BP	GO:1905915	regulation of cell differentiation involved in phenotypic switching
BP	GO:1905917	positive regulation of cell differentiation involved in phenotypic switching
BP	GO:1905930	regulation of vascular smooth muscle cell differentiation involved in phenotypic switching
BP	GO:1905932	positive regulation of vascular smooth muscle cell differentiation involved in phenotypic switching
BP	GO:1905952	regulation of lipid localization
BP	GO:1905953	negative regulation of lipid localization
BP	GO:1905954	positive regulation of lipid localization
BP	GO:1990000	amyloid fibril formation
BP	GO:1990066	energy quenching
BP	GO:1990116	ribosome-associated ubiquitin-dependent protein catabolic process
BP	GO:1990145	maintenance of translational fidelity
BP	GO:1990169	stress response to copper ion
BP	GO:1990170	stress response to cadmium ion
BP	GO:1990171	SCF complex disassembly in response to cadmium stress
BP	GO:1990180	mitochondrial tRNA 3'-end processing
BP	GO:1990266	neutrophil migration
BP	GO:1990349	gap junction-mediated intercellular transport
BP	GO:1990355	L-methionine salvage from methionine sulphoxide
BP	GO:1990359	stress response to zinc ion
BP	GO:1990397	queuosine salvage
BP	GO:1990402	embryonic liver development
BP	GO:1990414	replication-born double-strand break repair via sister chromatid exchange
BP	GO:1990417	snoRNA release from pre-rRNA
BP	GO:1990451	cellular stress response to acidic pH
BP	GO:1990481	mRNA pseudouridine synthesis
BP	GO:1990497	regulation of cytoplasmic translation in response to stress
BP	GO:1990507	ATP-independent chaperone mediated protein folding
BP	GO:1990542	mitochondrial transmembrane transport
BP	GO:1990619	histone H3-K9 deacetylation
BP	GO:1990641	response to iron ion starvation
BP	GO:1990731	UV-damage excision repair, DNA incision
BP	GO:1990748	cellular detoxification
BP	GO:1990778	protein localization to cell periphery
BP	GO:1990798	pancreas regeneration
BP	GO:1990822	basic amino acid transmembrane transport
BP	GO:1990823	response to leukemia inhibitory factor
BP	GO:1990830	cellular response to leukemia inhibitory factor
BP	GO:1990845	adaptive thermogenesis
BP	GO:1990868	response to chemokine
BP	GO:1990869	cellular response to chemokine
BP	GO:1990884	RNA acetylation
BP	GO:1990928	response to amino acid starvation
BP	GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane
BP	GO:1990966	ATP generation from poly-ADP-D-ribose
BP	GO:2000001	regulation of DNA damage checkpoint
BP	GO:2000014	regulation of endosperm development
BP	GO:2000026	regulation of multicellular organismal development
BP	GO:2000027	regulation of animal organ morphogenesis
BP	GO:2000028	regulation of photoperiodism, flowering
BP	GO:2000045	regulation of G1/S transition of mitotic cell cycle
BP	GO:2000047	regulation of cell-cell adhesion mediated by cadherin
BP	GO:2000058	regulation of ubiquitin-dependent protein catabolic process
BP	GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process
BP	GO:2000104	negative regulation of DNA-dependent DNA replication
BP	GO:2000105	positive regulation of DNA-dependent DNA replication
BP	GO:2000106	regulation of leukocyte apoptotic process
BP	GO:2000107	negative regulation of leukocyte apoptotic process
BP	GO:2000108	positive regulation of leukocyte apoptotic process
BP	GO:2000112	regulation of cellular macromolecule biosynthetic process
BP	GO:2000113	negative regulation of cellular macromolecule biosynthetic process
BP	GO:2000114	regulation of establishment of cell polarity
BP	GO:2000116	regulation of cysteine-type endopeptidase activity
BP	GO:2000117	negative regulation of cysteine-type endopeptidase activity
BP	GO:2000121	regulation of removal of superoxide radicals
BP	GO:2000142	regulation of DNA-templated transcription, initiation
BP	GO:2000143	negative regulation of DNA-templated transcription, initiation
BP	GO:2000144	positive regulation of DNA-templated transcription, initiation
BP	GO:2000145	regulation of cell motility
BP	GO:2000146	negative regulation of cell motility
BP	GO:2000147	positive regulation of cell motility
BP	GO:2000152	regulation of ubiquitin-specific protease activity
BP	GO:2000155	positive regulation of cilium-dependent cell motility
BP	GO:2000157	negative regulation of ubiquitin-specific protease activity
BP	GO:2000169	regulation of peptidyl-cysteine S-nitrosylation
BP	GO:2000181	negative regulation of blood vessel morphogenesis
BP	GO:2000185	regulation of phosphate transmembrane transport
BP	GO:2000186	negative regulation of phosphate transmembrane transport
BP	GO:2000191	regulation of fatty acid transport
BP	GO:2000193	positive regulation of fatty acid transport
BP	GO:2000209	regulation of anoikis
BP	GO:2000211	regulation of glutamate metabolic process
BP	GO:2000213	positive regulation of glutamate metabolic process
BP	GO:2000214	regulation of proline metabolic process
BP	GO:2000216	positive regulation of proline metabolic process
BP	GO:2000220	regulation of pseudohyphal growth
BP	GO:2000232	regulation of rRNA processing
BP	GO:2000234	positive regulation of rRNA processing
BP	GO:2000241	regulation of reproductive process
BP	GO:2000242	negative regulation of reproductive process
BP	GO:2000243	positive regulation of reproductive process
BP	GO:2000244	regulation of FtsZ-dependent cytokinesis
BP	GO:2000245	negative regulation of FtsZ-dependent cytokinesis
BP	GO:2000246	positive regulation of FtsZ-dependent cytokinesis
BP	GO:2000252	negative regulation of feeding behavior
BP	GO:2000257	regulation of protein activation cascade
BP	GO:2000266	regulation of blood coagulation, intrinsic pathway
BP	GO:2000275	regulation of oxidative phosphorylation uncoupler activity
BP	GO:2000276	negative regulation of oxidative phosphorylation uncoupler activity
BP	GO:2000278	regulation of DNA biosynthetic process
BP	GO:2000279	negative regulation of DNA biosynthetic process
BP	GO:2000280	regulation of root development
BP	GO:2000282	regulation of cellular amino acid biosynthetic process
BP	GO:2000284	positive regulation of cellular amino acid biosynthetic process
BP	GO:2000312	regulation of kainate selective glutamate receptor activity
BP	GO:2000322	regulation of glucocorticoid receptor signaling pathway
BP	GO:2000323	negative regulation of glucocorticoid receptor signaling pathway
BP	GO:2000331	regulation of terminal button organization
BP	GO:2000341	regulation of chemokine (C-X-C motif) ligand 2 production
BP	GO:2000343	positive regulation of chemokine (C-X-C motif) ligand 2 production
BP	GO:2000359	regulation of binding of sperm to zona pellucida
BP	GO:2000360	negative regulation of binding of sperm to zona pellucida
BP	GO:2000371	regulation of DNA topoisomerase (ATP-hydrolyzing) activity
BP	GO:2000372	negative regulation of DNA topoisomerase (ATP-hydrolyzing) activity
BP	GO:2000373	positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity
BP	GO:2000374	regulation of oxygen metabolic process
BP	GO:2000376	positive regulation of oxygen metabolic process
BP	GO:2000377	regulation of reactive oxygen species metabolic process
BP	GO:2000378	negative regulation of reactive oxygen species metabolic process
BP	GO:2000379	positive regulation of reactive oxygen species metabolic process
BP	GO:2000401	regulation of lymphocyte migration
BP	GO:2000402	negative regulation of lymphocyte migration
BP	GO:2000404	regulation of T cell migration
BP	GO:2000425	regulation of apoptotic cell clearance
BP	GO:2000468	regulation of peroxidase activity
BP	GO:2000469	negative regulation of peroxidase activity
BP	GO:2000470	positive regulation of peroxidase activity
BP	GO:2000482	regulation of interleukin-8 secretion
BP	GO:2000484	positive regulation of interleukin-8 secretion
BP	GO:2000535	regulation of entry of bacterium into host cell
BP	GO:2000542	negative regulation of gastrulation
BP	GO:2000573	positive regulation of DNA biosynthetic process
BP	GO:2000574	regulation of microtubule motor activity
BP	GO:2000649	regulation of sodium ion transmembrane transporter activity
BP	GO:2000651	positive regulation of sodium ion transmembrane transporter activity
BP	GO:2000677	regulation of transcription regulatory region DNA binding
BP	GO:2000678	negative regulation of transcription regulatory region DNA binding
BP	GO:2000679	positive regulation of transcription regulatory region DNA binding
BP	GO:2000749	positive regulation of chromatin silencing at rDNA
BP	GO:2000756	regulation of peptidyl-lysine acetylation
BP	GO:2000757	negative regulation of peptidyl-lysine acetylation
BP	GO:2000765	regulation of cytoplasmic translation
BP	GO:2000766	negative regulation of cytoplasmic translation
BP	GO:2000767	positive regulation of cytoplasmic translation
BP	GO:2000779	regulation of double-strand break repair
BP	GO:2000780	negative regulation of double-strand break repair
BP	GO:2000781	positive regulation of double-strand break repair
BP	GO:2000811	negative regulation of anoikis
BP	GO:2000812	regulation of barbed-end actin filament capping
BP	GO:2000831	regulation of steroid hormone secretion
BP	GO:2000832	negative regulation of steroid hormone secretion
BP	GO:2000846	regulation of corticosteroid hormone secretion
BP	GO:2000847	negative regulation of corticosteroid hormone secretion
BP	GO:2000849	regulation of glucocorticoid secretion
BP	GO:2000850	negative regulation of glucocorticoid secretion
BP	GO:2000874	regulation of glyoxylate cycle
BP	GO:2000877	negative regulation of oligopeptide transport
BP	GO:2000879	negative regulation of dipeptide transport
BP	GO:2000884	glucomannan catabolic process
BP	GO:2000886	glucuronoxylan catabolic process
BP	GO:2000895	hemicellulose catabolic process
BP	GO:2000896	amylopectin metabolic process
BP	GO:2000899	xyloglucan catabolic process
BP	GO:2001020	regulation of response to DNA damage stimulus
BP	GO:2001021	negative regulation of response to DNA damage stimulus
BP	GO:2001022	positive regulation of response to DNA damage stimulus
BP	GO:2001023	regulation of response to drug
BP	GO:2001024	negative regulation of response to drug
BP	GO:2001025	positive regulation of response to drug
BP	GO:2001032	regulation of double-strand break repair via nonhomologous end joining
