GO_id	description	ontology	why	original_keyword	behaviour
GO:1901099	negative regulation of signal transduction in absence of ligand	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1901201	regulation of extracellular matrix assembly	BP	keyword match	extracellular matrix	biofilm
GO:1901202	negative regulation of extracellular matrix assembly	BP	keyword match	extracellular matrix	biofilm
GO:1901222	regulation of NIK/NF-kappaB signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1901224	positive regulation of NIK/NF-kappaB signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1901361	organic cyclic compound catabolic process	BP	parent of GO:0030655	beta-lactam antibiotic catabolic process	antibiotic_degradation
GO:1901565	organonitrogen compound catabolic process	BP	parent of GO:0030655	beta-lactam antibiotic catabolic process	antibiotic_degradation
GO:1901768	carbapenem catabolic process	BP	child of GO:0030655	beta-lactam antibiotic catabolic process	antibiotic_degradation
GO:1901785	p-cresol catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:1901796	regulation of signal transduction by p53 class mediator	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1901797	negative regulation of signal transduction by p53 class mediator	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902165	regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902166	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902177	positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902229	regulation of intrinsic apoptotic signaling pathway in response to DNA damage	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902230	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902254	negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902531	regulation of intracellular signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902532	negative regulation of intracellular signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902533	positive regulation of intracellular signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902659	regulation of glucose mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1902660	negative regulation of glucose mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1903037	regulation of leukocyte cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:1903038	negative regulation of leukocyte cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:1903039	positive regulation of leukocyte cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:1903053	regulation of extracellular matrix organization	BP	keyword match	extracellular matrix	biofilm
GO:1903054	negative regulation of extracellular matrix organization	BP	keyword match	extracellular matrix	biofilm
GO:1903236	regulation of leukocyte tethering or rolling	BP	child of GO:0007155	adhesi	biofilm
GO:1903237	negative regulation of leukocyte tethering or rolling	BP	child of GO:0007155	adhesi	biofilm
GO:1903577	cellular response to L-arginine	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1903656	regulation of type IV pilus biogenesis	BP	keyword match	type IV pilus	biofilm
GO:1903658	positive regulation of type IV pilus biogenesis	BP	keyword match	type IV pilus	biofilm
GO:1903831	signal transduction involved in cellular response to ammonium ion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1904892	regulation of receptor signaling pathway via STAT	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1904894	positive regulation of receptor signaling pathway via STAT	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell	BP	keyword match	adhesi	biofilm
GO:1904995	negative regulation of leukocyte adhesion to vascular endothelial cell	BP	keyword match	adhesi	biofilm
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1905887	autoinducer AI-2 transmembrane transport	BP	keyword match	autoindu	quorum_sensing
GO:2000047	regulation of cell-cell adhesion mediated by cadherin	BP	keyword match	adhesi	biofilm
GO:2000312	regulation of kainate selective glutamate receptor activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2000322	regulation of glucocorticoid receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2000323	negative regulation of glucocorticoid receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2000831	regulation of steroid hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2000832	negative regulation of steroid hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2000846	regulation of corticosteroid hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2000847	negative regulation of corticosteroid hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2000849	regulation of glucocorticoid secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2000850	negative regulation of glucocorticoid secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001044	regulation of integrin-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001045	negative regulation of integrin-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001233	regulation of apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001234	negative regulation of apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001235	positive regulation of apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001236	regulation of extrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001239	regulation of extrinsic apoptotic signaling pathway in absence of ligand	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001241	positive regulation of extrinsic apoptotic signaling pathway in absence of ligand	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001242	regulation of intrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001267	regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
NA	NA	NA	no match with keyword	chelation	siderophores
